condition	part_id	part_gender	part_age	instagram	messenger	imessage	screentime	part_normal_vision	block_num	trial_num	number	omit_num	resp_acc	resp_rt	trial_start_time_s	trial_end_time_s	mean_trial_time_s	timing_function
3	BB2023	Male	23	True	True	False	1.50	Yes - normal vision	0	1	4	3	0	NA	41.780878	43.837841	2.0561696111111107	time.process_time()
3	BB2023	Male	23	True	True	False	1.50	Yes - normal vision	0	2	1	3	1	0.39644529100041837	43.838118	45.89505	2.0561696111111107	time.process_time()
3	BB2023	Male	23	True	True	False	1.50	Yes - normal vision	0	3	1	3	1	0.37578266600030474	45.895325	47.951507	2.0561696111111107	time.process_time()
3	BB2023	Male	23	True	True	False	1.50	Yes - normal vision	0	4	7	3	1	0.4961161249957513	47.951798	50.006882	2.0561696111111107	time.process_time()
3	BB2023	Male	23	True	True	False	1.50	Yes - normal vision	0	5	2	3	1	0.34359754199977033	50.007179	52.062965	2.0561696111111107	time.process_time()
3	BB2023	Male	23	True	True	False	1.50	Yes - normal vision	0	6	8	3	1	0.24571316700894386	52.063236	54.118841	2.0561696111111107	time.process_time()
3	BB2023	Male	23	True	True	False	1.50	Yes - normal vision	0	7	7	3	1	0.29136829200433567	54.11913	56.174921	2.0561696111111107	time.process_time()
3	BB2023	Male	23	True	True	False	1.50	Yes - normal vision	0	8	2	3	1	0.3066798329818994	56.175191	58.231	2.0561696111111107	time.process_time()
3	BB2023	Male	23	True	True	False	1.50	Yes - normal vision	0	9	6	3	1	0.27565670799231157	58.231279	60.287628	2.0561696111111107	time.process_time()
3	BB2023	Male	23	True	True	False	1.50	Yes - normal vision	0	10	6	3	1	0.2630527500004973	60.287958	62.343957	2.0561696111111107	time.process_time()
3	BB2023	Male	23	True	True	False	1.50	Yes - normal vision	0	11	4	3	1	0.2565155830234289	62.344234	64.399086	2.0561696111111107	time.process_time()
3	BB2023	Male	23	True	True	False	1.50	Yes - normal vision	0	12	9	3	1	0.30341862500063144	64.399354	66.455088	2.0561696111111107	time.process_time()
3	BB2023	Male	23	True	True	False	1.50	Yes - normal vision	0	13	5	3	1	0.31581383300363086	66.455358	68.511528	2.0561696111111107	time.process_time()
3	BB2023	Male	23	True	True	False	1.50	Yes - normal vision	0	14	9	3	1	0.21836774999974295	68.511794	70.566531	2.0561696111111107	time.process_time()
