condition	part_id	part_gender	part_age	instagram	messenger	imessage	screentime	part_normal_vision	block_num	trial_num	number	omit_num	resp_acc	resp_rt	trial_start_time_s	trial_end_time_s	mean_trial_time_s	timing_function
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	0	1	8	3	1	0.5647772919910494	30.308506	32.365789	2.056321277777778	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	0	2	3	3	1	NA	32.36606	34.420903	2.056321277777778	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	0	3	4	3	1	0.38028000001213513	34.421177	36.477152	2.056321277777778	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	0	4	9	3	1	0.3755622909811791	36.477431	38.534548	2.056321277777778	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	0	5	7	3	1	0.3280039579840377	38.534893	40.590809	2.056321277777778	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	0	6	2	3	1	0.37093987499247305	40.591099	42.646215	2.056321277777778	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	0	7	5	3	1	0.3661771659972146	42.646491	44.702928	2.056321277777778	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	0	8	1	3	1	0.3273124999832362	44.703222	46.758914	2.056321277777778	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	0	9	6	3	1	0.424099333002232	46.759203	48.814302	2.056321277777778	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	0	10	7	3	1	0.31932900001993403	48.814582	50.870499	2.056321277777778	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	0	11	5	3	1	0.3752890419855248	50.870843	52.927017	2.056321277777778	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	0	12	9	3	1	0.3379285420232918	52.92729	54.983812	2.056321277777778	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	0	13	4	3	1	0.3419915830017999	54.984118	57.040149	2.056321277777778	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	0	14	3	3	1	NA	57.04061	59.096981	2.056321277777778	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	0	15	8	3	1	0.31987454200861976	59.097254	61.152924	2.056321277777778	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	0	16	1	3	1	0.39996420801617205	61.153211	63.208572	2.056321277777778	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	0	17	2	3	1	0.3278201670036651	63.208843	65.264585	2.056321277777778	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	0	18	6	3	1	0.365054667025106	65.264859	67.321471	2.056321277777778	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	1	4	3	1	0.4290430420078337	75.615938	76.770358	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	2	1	3	1	0.30779133399482816	76.770676	77.925866	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	3	1	3	1	0.3114558329980355	77.926115	79.080494	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	4	2	3	1	0.32021991699002683	79.080743	80.235006	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	5	7	3	1	0.32824149998486973	80.235251	81.389978	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	6	7	3	1	0.31426445799297653	81.390227	82.544421	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	7	8	3	1	0.3278379999974277	82.54466	83.699213	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	8	5	3	1	0.30636474999482743	83.69946	84.854645	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	9	8	3	1	0.3662567080173176	84.854888	86.008818	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	10	1	3	1	0.2796821249939967	86.00906	87.163943	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	11	7	3	1	0.30672200000844896	87.164214	88.318792	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	12	6	3	1	0.3031707920017652	88.319043	89.472567	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	13	6	3	1	0.29214487501303665	89.472807	90.627592	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	14	5	3	1	0.3721625000180211	90.627837	91.78229	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	15	4	3	1	0.3032857079815585	91.782542	92.936834	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	16	3	3	0	0.3203972920018714	92.937077	94.091527	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	17	9	3	1	0.2410549169871956	94.091772	95.246366	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	18	4	3	1	0.21679420801228844	95.24661	96.400958	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	19	1	3	1	0.47222212501219474	96.401239	97.555754	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	20	4	3	1	0.291560165991541	97.555996	98.709272	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	21	8	3	1	0.3554987079987768	98.709511	99.864912	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	22	3	3	1	NA	99.865167	101.019625	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	23	8	3	1	0.28011266599060036	101.019865	102.174617	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	24	7	3	1	0.289708750002319	102.174874	103.329465	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	25	3	3	1	NA	103.32971	104.484203	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	26	2	3	1	0.28076312498888	104.484443	105.639759	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	27	9	3	1	0.2772015829978045	105.640141	106.79635	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	28	2	3	1	0.4181575830152724	106.796643	107.950753	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	29	5	3	1	0.33541866700397804	107.951004	109.10454	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	30	8	3	1	0.3392732079955749	109.104786	110.259802	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	31	6	3	1	0.41032604200881906	110.260057	111.413956	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	32	9	3	1	0.3415066250017844	111.414203	112.568932	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	33	5	3	1	0.30459824998979457	112.569174	113.723826	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	34	9	3	1	0.3036591669952031	113.72407	114.877445	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	35	4	3	1	0.3247166670043953	114.877688	116.031739	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	36	7	3	1	0.3895224579900969	116.03198	117.186876	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	37	9	3	1	0.33313162499689497	117.187129	118.341117	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	38	3	3	1	NA	118.34136	119.495913	1.1546972111111111	time.process_time()
1	IB2405	Female	24	False	True	False	1,21	Yes - normal vision	1	39	3	3	0	0.3220676659839228	119.496147	120.650412	1.1546972111111111	time.process_time()
