condition	part_id	part_gender	part_age	instagram	messenger	imessage	screentime	part_normal_vision	block_num	trial_num	number	omit_num	resp_acc	resp_rt	trial_start_time_s	trial_end_time_s	mean_trial_time_s	timing_function
2	as1909	Male	19	True	True	False	4,16	Yes - corrected-to-normal vision	0	1	1	3	0	NA	38.682428	40.739956	2.056336611111111	time.process_time()
2	as1909	Male	19	True	True	False	4,16	Yes - corrected-to-normal vision	0	2	7	3	1	0.7192631659854669	40.74024	42.79714	2.056336611111111	time.process_time()
2	as1909	Male	19	True	True	False	4,16	Yes - corrected-to-normal vision	0	3	2	3	1	0.5776901670033112	42.797432	44.853636	2.056336611111111	time.process_time()
2	as1909	Male	19	True	True	False	4,16	Yes - corrected-to-normal vision	0	4	2	3	1	0.3696628750185482	44.853928	46.910544	2.056336611111111	time.process_time()
2	as1909	Male	19	True	True	False	4,16	Yes - corrected-to-normal vision	0	5	4	3	1	0.5204103339929134	46.910814	48.965948	2.056336611111111	time.process_time()
2	as1909	Male	19	True	True	False	4,16	Yes - corrected-to-normal vision	0	6	5	3	1	0.4308607920247596	48.966242	51.022581	2.056336611111111	time.process_time()
2	as1909	Male	19	True	True	False	4,16	Yes - corrected-to-normal vision	0	7	5	3	1	0.5648841250222176	51.022851	53.079322	2.056336611111111	time.process_time()
2	as1909	Male	19	True	True	False	4,16	Yes - corrected-to-normal vision	0	8	8	3	1	0.5157025830121711	53.079589	55.134651	2.056336611111111	time.process_time()
2	as1909	Male	19	True	True	False	4,16	Yes - corrected-to-normal vision	0	9	6	3	1	0.32131224998738617	55.134919	57.190766	2.056336611111111	time.process_time()
2	as1909	Male	19	True	True	False	4,16	Yes - corrected-to-normal vision	0	10	8	3	1	0.3930488750047516	57.191059	59.247444	2.056336611111111	time.process_time()
2	as1909	Male	19	True	True	False	4,16	Yes - corrected-to-normal vision	0	11	9	3	1	0.3839389590139035	59.247762	61.302803	2.056336611111111	time.process_time()
2	as1909	Male	19	True	True	False	4,16	Yes - corrected-to-normal vision	0	12	1	3	1	0.3226596669992432	61.30307	63.358898	2.056336611111111	time.process_time()
2	as1909	Male	19	True	True	False	4,16	Yes - corrected-to-normal vision	0	13	9	3	1	0.4138201250170823	63.359165	65.414912	2.056336611111111	time.process_time()
2	as1909	Male	19	True	True	False	4,16	Yes - corrected-to-normal vision	0	14	7	3	1	0.30165762500837445	65.415197	67.47146	2.056336611111111	time.process_time()
2	as1909	Male	19	True	True	False	4,16	Yes - corrected-to-normal vision	0	15	4	3	1	0.3738261669932399	67.471734	69.527466	2.056336611111111	time.process_time()
2	as1909	Male	19	True	True	False	4,16	Yes - corrected-to-normal vision	0	16	6	3	1	0.3638270839874167	69.527868	71.583679	2.056336611111111	time.process_time()
2	as1909	Male	19	True	True	False	4,16	Yes - corrected-to-normal vision	0	17	3	3	0	0.32089479101705365	71.583967	73.639801	2.056336611111111	time.process_time()
2	as1909	Male	19	True	True	False	4,16	Yes - corrected-to-normal vision	0	18	3	3	1	NA	73.640075	75.695604	2.056336611111111	time.process_time()
