condition	part_id	part_gender	part_age	instagram	messenger	imessage	screentime	part_normal_vision	block_num	trial_num	number	omit_num	resp_acc	resp_rt	trial_start_time_s	trial_end_time_s	mean_trial_time_s	timing_function
1	df5792	Female	22	True	True	True	4,2	No	0	1	5	3	0	NA	36.872812	38.928497	2.0561587777777772	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	0	2	2	3	1	0.5238208749797195	38.92878	40.985656	2.0561587777777772	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	0	3	9	3	1	0.3784032920084428	40.985946	43.042343	2.0561587777777772	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	0	4	3	3	0	0.5045115830143914	43.042615	45.098327	2.0561587777777772	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	0	5	7	3	1	0.34770474999095313	45.098607	47.154142	2.0561587777777772	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	0	6	6	3	1	0.44365783300600015	47.15448	49.210288	2.0561587777777772	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	0	7	4	3	1	0.400108415982686	49.210563	51.266248	2.0561587777777772	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	0	8	1	3	1	0.3618663340166677	51.266522	53.322111	2.0561587777777772	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	0	9	4	3	1	0.3740805840061512	53.322381	55.377962	2.0561587777777772	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	0	10	3	3	1	NA	55.378261	57.433962	2.0561587777777772	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	0	11	1	3	1	0.52904112500255	57.434237	59.49008	2.0561587777777772	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	0	12	9	3	1	0.3932289590011351	59.490353	61.546112	2.0561587777777772	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	0	13	6	3	1	0.3486320830124896	61.546412	63.602394	2.0561587777777772	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	0	14	5	3	1	0.4800933329970576	63.602687	65.658412	2.0561587777777772	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	0	15	2	3	1	0.4102737089851871	65.658687	67.714138	2.0561587777777772	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	0	16	8	3	1	0.38209725002525374	67.714412	69.770781	2.0561587777777772	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	0	17	7	3	1	0.4292532080144156	69.771053	71.827317	2.0561587777777772	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	0	18	8	3	1	0.4421507500228472	71.827599	73.882785	2.0561587777777772	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	1	1	8	3	1	0.6547116660221945	81.701661	82.855959	1.1546249333333334	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	1	2	8	3	1	0.5966770419909153	82.856204	84.010495	1.1546249333333334	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	1	3	2	3	1	0.5769517500011716	84.010734	85.165284	1.1546249333333334	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	1	4	8	3	1	0.4728160419908818	85.165529	86.319851	1.1546249333333334	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	1	5	3	3	1	NA	86.320091	87.474499	1.1546249333333334	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	1	6	4	3	1	0.5250634579861071	87.47479	88.629616	1.1546249333333334	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	1	7	3	3	1	NA	88.629862	89.783491	1.1546249333333334	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	1	8	1	3	1	0.36130104199401103	89.783734	90.938173	1.1546249333333334	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	1	9	2	3	1	0.48275399999693036	90.938416	92.093339	1.1546249333333334	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	1	10	2	3	1	0.482260667020455	92.093584	93.247354	1.1546249333333334	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	1	11	6	3	1	0.4544822500029113	93.247597	94.402471	1.1546249333333334	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	1	12	7	3	1	0.40669208401232027	94.402718	95.556199	1.1546249333333334	time.process_time()
1	df5792	Female	22	True	True	True	4,2	No	1	13	9	3	1	0.45080620801309124	95.556442	96.709929	1.1546249333333334	time.process_time()
