condition	part_id	part_gender	part_age	instagram	messenger	imessage	screentime	part_normal_vision	block_num	trial_num	number	omit_num	resp_acc	resp_rt	trial_start_time_s	trial_end_time_s	mean_trial_time_s	timing_function
2	et2356	Male	22	False	True	True	4,26	Yes - normal vision	0	1	8	3	0	NA	43.243529	45.301349	2.056324833333333	time.process_time()
2	et2356	Male	22	False	True	True	4,26	Yes - normal vision	0	2	6	3	1	0.8949166669917759	45.301656	47.357891	2.056324833333333	time.process_time()
2	et2356	Male	22	False	True	True	4,26	Yes - normal vision	0	3	5	3	1	0.6705793339933734	47.358167	49.414446	2.056324833333333	time.process_time()
2	et2356	Male	22	False	True	True	4,26	Yes - normal vision	0	4	7	3	1	0.404610750003485	49.414738	51.470206	2.056324833333333	time.process_time()
2	et2356	Male	22	False	True	True	4,26	Yes - normal vision	0	5	6	3	1	0.3301305000204593	51.470476	53.526923	2.056324833333333	time.process_time()
2	et2356	Male	22	False	True	True	4,26	Yes - normal vision	0	6	4	3	1	0.3334061659988947	53.527212	55.583365	2.056324833333333	time.process_time()
2	et2356	Male	22	False	True	True	4,26	Yes - normal vision	0	7	8	3	1	0.2497940000030212	55.583637	57.639437	2.056324833333333	time.process_time()
2	et2356	Male	22	False	True	True	4,26	Yes - normal vision	0	8	3	3	0	0.3191953750210814	57.639712	59.69588	2.056324833333333	time.process_time()
2	et2356	Male	22	False	True	True	4,26	Yes - normal vision	0	9	3	3	1	NA	59.696155	61.75225	2.056324833333333	time.process_time()
2	et2356	Male	22	False	True	True	4,26	Yes - normal vision	0	10	9	3	1	0.5472083750064485	61.752537	63.80863	2.056324833333333	time.process_time()
2	et2356	Male	22	False	True	True	4,26	Yes - normal vision	0	11	5	3	1	0.3646061670151539	63.808904	65.864069	2.056324833333333	time.process_time()
2	et2356	Male	22	False	True	True	4,26	Yes - normal vision	0	12	7	3	1	0.3915481670119334	65.864419	67.920967	2.056324833333333	time.process_time()
2	et2356	Male	22	False	True	True	4,26	Yes - normal vision	0	13	4	3	1	0.33785358400200494	67.921241	69.977399	2.056324833333333	time.process_time()
2	et2356	Male	22	False	True	True	4,26	Yes - normal vision	0	14	9	3	1	0.36759945799713023	69.97771	72.032854	2.056324833333333	time.process_time()
2	et2356	Male	22	False	True	True	4,26	Yes - normal vision	0	15	2	3	1	0.41070262499852106	72.033121	74.088896	2.056324833333333	time.process_time()
2	et2356	Male	22	False	True	True	4,26	Yes - normal vision	0	16	1	3	1	0.3691477499960456	74.089176	76.145136	2.056324833333333	time.process_time()
