condition	part_id	part_gender	part_age	instagram	messenger	imessage	screentime	part_normal_vision	block_num	trial_num	number	omit_num	resp_acc	resp_rt	trial_start_time_s	trial_end_time_s	mean_trial_time_s	timing_function
3	fd2456	Female	20	True	True	False	3,45	Yes - normal vision	0	1	4	3	0	NA	55.314644	57.371959	2.056290277777778	time.process_time()
3	fd2456	Female	20	True	True	False	3,45	Yes - normal vision	0	2	7	3	0	NA	57.372245	59.428007	2.056290277777778	time.process_time()
3	fd2456	Female	20	True	True	False	3,45	Yes - normal vision	0	3	9	3	1	0.43937874998664483	59.428285	61.484198	2.056290277777778	time.process_time()
3	fd2456	Female	20	True	True	False	3,45	Yes - normal vision	0	4	5	3	1	0.45585337502416223	61.484499	63.541074	2.056290277777778	time.process_time()
3	fd2456	Female	20	True	True	False	3,45	Yes - normal vision	0	5	1	3	1	0.5890106250008103	63.541374	65.59716	2.056290277777778	time.process_time()
3	fd2456	Female	20	True	True	False	3,45	Yes - normal vision	0	6	2	3	1	0.6351900839945301	65.597462	67.652982	2.056290277777778	time.process_time()
3	fd2456	Female	20	True	True	False	3,45	Yes - normal vision	0	7	7	3	1	0.512501000019256	67.653248	69.708863	2.056290277777778	time.process_time()
3	fd2456	Female	20	True	True	False	3,45	Yes - normal vision	0	8	4	3	1	0.45470887498231605	69.709131	71.765614	2.056290277777778	time.process_time()
3	fd2456	Female	20	True	True	False	3,45	Yes - normal vision	0	9	5	3	1	0.5194746249762829	71.765906	73.821301	2.056290277777778	time.process_time()
3	fd2456	Female	20	True	True	False	3,45	Yes - normal vision	0	10	3	3	1	NA	73.821573	75.877944	2.056290277777778	time.process_time()
3	fd2456	Female	20	True	True	False	3,45	Yes - normal vision	0	11	6	3	1	0.41623929201159626	75.878214	77.933917	2.056290277777778	time.process_time()
3	fd2456	Female	20	True	True	False	3,45	Yes - normal vision	0	12	2	3	1	0.4545953340129927	77.934188	79.989941	2.056290277777778	time.process_time()
3	fd2456	Female	20	True	True	False	3,45	Yes - normal vision	0	13	1	3	1	0.6714573749923147	79.990232	82.045767	2.056290277777778	time.process_time()
