condition	part_id	part_gender	part_age	instagram	messenger	imessage	screentime	part_normal_vision	block_num	trial_num	number	omit_num	resp_acc	resp_rt	trial_start_time_s	trial_end_time_s	mean_trial_time_s	timing_function
3	fl2609	Female	23	True	True	False	1,33	Yes - normal vision	0	1	3	3	1	NA	36.713319	38.770682	2.056366555555556	time.process_time()
3	fl2609	Female	23	True	True	False	1,33	Yes - normal vision	0	2	6	3	1	0.38704408300691284	38.770961	40.827042	2.056366555555556	time.process_time()
3	fl2609	Female	23	True	True	False	1,33	Yes - normal vision	0	3	2	3	1	0.6183649580052588	40.827319	42.882605	2.056366555555556	time.process_time()
3	fl2609	Female	23	True	True	False	1,33	Yes - normal vision	0	4	8	3	1	0.36626133299432695	42.882889	44.938481	2.056366555555556	time.process_time()
3	fl2609	Female	23	True	True	False	1,33	Yes - normal vision	0	5	3	3	1	NA	44.938752	46.99561	2.056366555555556	time.process_time()
3	fl2609	Female	23	True	True	False	1,33	Yes - normal vision	0	6	5	3	1	0.44989091699244455	46.995914	49.051487	2.056366555555556	time.process_time()
3	fl2609	Female	23	True	True	False	1,33	Yes - normal vision	0	7	9	3	1	0.41838837499381043	49.051759	51.108295	2.056366555555556	time.process_time()
3	fl2609	Female	23	True	True	False	1,33	Yes - normal vision	0	8	7	3	1	0.4830592919897754	51.108578	53.164594	2.056366555555556	time.process_time()
3	fl2609	Female	23	True	True	False	1,33	Yes - normal vision	0	9	7	3	1	0.538986166997347	53.164875	55.221056	2.056366555555556	time.process_time()
3	fl2609	Female	23	True	True	False	1,33	Yes - normal vision	0	10	1	3	1	0.6112849590135738	55.221326	57.277614	2.056366555555556	time.process_time()
3	fl2609	Female	23	True	True	False	1,33	Yes - normal vision	0	11	8	3	1	0.4293940420029685	57.277882	59.333549	2.056366555555556	time.process_time()
3	fl2609	Female	23	True	True	False	1,33	Yes - normal vision	0	12	4	3	1	0.4372020419978071	59.333817	61.390116	2.056366555555556	time.process_time()
3	fl2609	Female	23	True	True	False	1,33	Yes - normal vision	0	13	6	3	1	0.39678800001274794	61.390393	63.446303	2.056366555555556	time.process_time()
3	fl2609	Female	23	True	True	False	1,33	Yes - normal vision	0	14	5	3	1	0.49330199998803437	63.446583	65.502165	2.056366555555556	time.process_time()
3	fl2609	Female	23	True	True	False	1,33	Yes - normal vision	0	15	2	3	1	0.41080029201111756	65.50244	67.558043	2.056366555555556	time.process_time()
3	fl2609	Female	23	True	True	False	1,33	Yes - normal vision	0	16	1	3	1	0.369969375024084	67.558311	69.613567	2.056366555555556	time.process_time()
