condition	part_id	part_gender	part_age	instagram	messenger	imessage	screentime	part_normal_vision	block_num	trial_num	number	omit_num	resp_acc	resp_rt	trial_start_time_s	trial_end_time_s	mean_trial_time_s	timing_function
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	0	1	7	3	1	0.657878250000067	44.586921	46.645253	2.0563869444444443	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	0	2	9	3	1	0.3818087090039626	46.645542	48.700632	2.0563869444444443	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	0	3	9	3	1	0.34651737500098534	48.700907	50.757477	2.0563869444444443	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	0	4	8	3	1	0.48160691699013114	50.757758	52.813949	2.0563869444444443	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	0	5	5	3	1	0.39694287499878556	52.814231	54.86933	2.0563869444444443	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	0	6	4	3	1	0.34381154100992717	54.869619	56.925214	2.0563869444444443	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	0	7	7	3	1	0.3848044580081478	56.925492	58.982164	2.0563869444444443	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	0	8	2	3	1	0.3622448749956675	58.982483	61.039306	2.0563869444444443	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	0	9	3	3	1	NA	61.039707	63.09518	2.0563869444444443	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	0	10	4	3	1	0.34865425000316463	63.095494	65.152115	2.0563869444444443	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	0	11	6	3	1	0.35291650000726804	65.152421	67.209096	2.0563869444444443	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	0	12	5	3	1	0.35463325001182966	67.209371	69.265332	2.0563869444444443	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	0	13	2	3	1	0.25845675001619384	69.2656	71.321057	2.0563869444444443	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	0	14	3	3	1	NA	71.321334	73.376773	2.0563869444444443	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	0	15	1	3	1	0.3260841250012163	73.377056	75.432654	2.0563869444444443	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	0	16	8	3	1	0.26732891699066386	75.432933	77.4887	2.0563869444444443	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	0	17	1	3	1	0.34243650001008064	77.488999	79.54476	2.0563869444444443	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	0	18	6	3	1	0.35984350001672283	79.545038	81.601038	2.0563869444444443	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	1	1	4	3	1	0.6649279579869471	90.63526	91.79059	1.1546928444444444	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	1	2	3	3	1	NA	91.790845	92.945317	1.1546928444444444	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	1	3	2	3	1	0.37043999999877997	92.945614	94.099903	1.1546928444444444	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	1	4	2	3	1	0.36501475001568906	94.100157	95.254648	1.1546928444444444	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	1	5	1	3	1	0.3527652499906253	95.254889	96.409061	1.1546928444444444	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	1	6	6	3	1	0.32287595799425617	96.409315	97.563621	1.1546928444444444	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	1	7	7	3	1	0.3347931250173133	97.563866	98.718413	1.1546928444444444	time.process_time()
2	jg5634	Female	23	True	True	False	3,23	Yes - corrected-to-normal vision	1	8	7	3	1	0.37284937500953674	98.718656	99.872951	1.1546928444444444	time.process_time()
