condition	part_id	part_gender	part_age	instagram	messenger	imessage	screentime	part_normal_vision	block_num	trial_num	number	omit_num	resp_acc	resp_rt	trial_start_time_s	trial_end_time_s	mean_trial_time_s	timing_function
1	li3333	Female	23	True	True	True	1,56	Yes - corrected-to-normal vision	0	1	6	3	1	0.49693383401609026	49.529496	51.587325	2.0563799444444446	time.process_time()
1	li3333	Female	23	True	True	True	1,56	Yes - corrected-to-normal vision	0	2	9	3	1	0.649178708990803	51.587618	53.643599	2.0563799444444446	time.process_time()
1	li3333	Female	23	True	True	True	1,56	Yes - corrected-to-normal vision	0	3	1	3	1	0.26395804100320674	53.643877	55.700158	2.0563799444444446	time.process_time()
1	li3333	Female	23	True	True	True	1,56	Yes - corrected-to-normal vision	0	4	2	3	1	0.49045683300937526	55.700431	57.757154	2.0563799444444446	time.process_time()
1	li3333	Female	23	True	True	True	1,56	Yes - corrected-to-normal vision	0	5	7	3	1	0.47922687500249594	57.757439	59.813293	2.0563799444444446	time.process_time()
1	li3333	Female	23	True	True	True	1,56	Yes - corrected-to-normal vision	0	6	2	3	1	0.603167791996384	59.81361	61.868567	2.0563799444444446	time.process_time()
1	li3333	Female	23	True	True	True	1,56	Yes - corrected-to-normal vision	0	7	5	3	1	0.44901308297994547	61.868864	63.924791	2.0563799444444446	time.process_time()
1	li3333	Female	23	True	True	True	1,56	Yes - corrected-to-normal vision	0	8	4	3	1	0.35916529200039804	63.925095	65.981948	2.0563799444444446	time.process_time()
1	li3333	Female	23	True	True	True	1,56	Yes - corrected-to-normal vision	0	9	1	3	1	0.44541183300316334	65.982381	68.037813	2.0563799444444446	time.process_time()
1	li3333	Female	23	True	True	True	1,56	Yes - corrected-to-normal vision	0	10	3	3	0	0.4012536660011392	68.03809	70.094102	2.0563799444444446	time.process_time()
1	li3333	Female	23	True	True	True	1,56	Yes - corrected-to-normal vision	0	11	9	3	1	0.5221547079854645	70.094378	72.150775	2.0563799444444446	time.process_time()
1	li3333	Female	23	True	True	True	1,56	Yes - corrected-to-normal vision	0	12	3	3	1	NA	72.151054	74.205554	2.0563799444444446	time.process_time()
1	li3333	Female	23	True	True	True	1,56	Yes - corrected-to-normal vision	0	13	7	3	1	0.5788844170165248	74.205837	76.262216	2.0563799444444446	time.process_time()
1	li3333	Female	23	True	True	True	1,56	Yes - corrected-to-normal vision	0	14	6	3	1	0.5178211669845041	76.262579	78.3188	2.0563799444444446	time.process_time()
1	li3333	Female	23	True	True	True	1,56	Yes - corrected-to-normal vision	0	15	5	3	1	0.40016254101647064	78.319084	80.374802	2.0563799444444446	time.process_time()
1	li3333	Female	23	True	True	True	1,56	Yes - corrected-to-normal vision	0	16	4	3	1	0.3395554579910822	80.375082	82.430533	2.0563799444444446	time.process_time()
