condition	part_id	part_gender	part_age	instagram	messenger	imessage	screentime	part_normal_vision	block_num	trial_num	number	omit_num	resp_acc	resp_rt	trial_start_time_s	trial_end_time_s	mean_trial_time_s	timing_function
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	0	1	2	3	0	NA	48.643069	50.699496	2.056290111111111	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	0	2	3	3	1	NA	50.699771	52.755521	2.056290111111111	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	0	3	9	3	1	0.35976545899757184	52.755797	54.812017	2.056290111111111	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	0	4	6	3	1	0.3649948749807663	54.812308	56.868799	2.056290111111111	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	0	5	3	3	0	0.3526779579988215	56.869091	58.924618	2.056290111111111	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	0	6	1	3	1	0.39220258401473984	58.924891	60.981296	2.056290111111111	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	0	7	7	3	1	0.4755370829952881	60.981578	63.037475	2.056290111111111	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	0	8	6	3	1	0.39689458298380487	63.037752	65.093244	2.056290111111111	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	0	9	1	3	1	0.409235750004882	65.093515	67.149092	2.056290111111111	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	0	10	4	3	1	0.4033269170031417	67.149365	69.206112	2.056290111111111	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	0	11	5	3	1	0.39161795799736865	69.206408	71.261927	2.056290111111111	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	0	12	5	3	1	0.4320544580114074	71.262242	73.317915	2.056290111111111	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	0	13	9	3	1	0.5349718749930616	73.318212	75.37397	2.056290111111111	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	0	14	7	3	1	0.40938695799559355	75.374251	77.430485	2.056290111111111	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	0	15	8	3	1	0.3389155420009047	77.43076	79.486532	2.056290111111111	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	0	16	8	3	1	0.3504132079833653	79.486801	81.542746	2.056290111111111	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	0	17	2	3	1	0.4868302910181228	81.543063	83.599302	2.056290111111111	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	0	18	4	3	1	0.4120882909919601	83.599576	85.655394	2.056290111111111	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	1	4	3	1	0.4902532090200111	90.938695	92.094287	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	2	3	3	1	NA	92.094544	93.249414	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	3	5	3	1	0.32057016697945073	93.249658	94.404357	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	4	2	3	1	0.33262987501802854	94.404603	95.559534	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	5	7	3	1	0.32999270799336955	95.559821	96.713809	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	6	8	3	1	0.2886888750072103	96.714063	97.868925	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	7	2	3	1	0.4377029580064118	97.869184	99.023781	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	8	3	3	1	NA	99.024027	100.178415	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	9	2	3	1	0.25012041701120324	100.178648	101.333214	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	10	6	3	1	0.2923955830046907	101.333457	102.488231	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	11	5	3	1	0.3487284170114435	102.488475	103.641898	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	12	3	3	0	0.3543601249984931	103.642138	104.796355	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	13	6	3	1	0.36877258398453705	104.796648	105.95046	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	14	5	3	1	0.3313297079876065	105.950709	107.104965	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	15	4	3	1	0.3928275000071153	107.105209	108.259774	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	16	9	3	1	0.4330461249919608	108.260015	109.414551	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	17	3	3	1	NA	109.414795	110.568669	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	18	7	3	1	0.29449904200737365	110.568901	111.723438	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	19	4	3	1	0.29442758398363367	111.723685	112.877942	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	20	9	3	1	0.27086033299565315	112.878184	114.032197	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	21	2	3	1	0.4269559170061257	114.032437	115.186986	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	22	1	3	1	0.360131374996854	115.187253	116.341533	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	23	7	3	1	0.3704857919947244	116.341772	117.496234	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	24	1	3	1	0.3758279999892693	117.496473	118.651539	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	25	4	3	1	0.371453833009582	118.651785	119.805752	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	26	8	3	1	0.37594224998611026	119.805992	120.960878	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	27	3	3	1	NA	120.961118	122.114366	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	28	6	3	1	0.22899825000786223	122.114601	123.268509	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	29	5	3	1	0.2457432910159696	123.268749	124.422839	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	30	6	3	1	0.2524190000258386	124.423125	125.577418	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	31	9	3	1	0.22374587500235066	125.577674	126.732159	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	32	6	3	1	0.30665116698946804	126.732403	127.887683	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	33	5	3	1	0.32877574997837655	127.887933	129.042082	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	34	8	3	1	0.3254812090017367	129.042327	130.197196	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	35	7	3	1	0.2807754999957979	130.197436	131.351577	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	36	9	3	1	0.27805058399098925	131.351827	132.505791	1.1546771111111112	time.process_time()
1	mv0802	Female	20	True	True	False	2,30	Yes - normal vision	1	37	1	3	1	0.2744899160170462	132.506033	133.660827	1.1546771111111112	time.process_time()
