condition	part_id	part_gender	part_age	instagram	messenger	imessage	screentime	part_normal_vision	block_num	trial_num	number	omit_num	resp_acc	resp_rt	trial_start_time_s	trial_end_time_s	mean_trial_time_s	timing_function
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	0	1	4	3	0	NA	49.037445	51.094897	2.0563111666666667	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	0	2	1	3	1	0.430999417003477	51.095196	53.152149	2.0563111666666667	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	0	3	7	3	1	0.3657970420026686	53.152458	55.208295	2.0563111666666667	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	0	4	3	3	0	0.36392733300453983	55.208579	57.264429	2.0563111666666667	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	0	5	9	3	1	0.389250207983423	57.264703	59.320854	2.0563111666666667	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	0	6	2	3	1	0.43785683301393874	59.321251	61.376458	2.0563111666666667	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	0	7	4	3	1	0.31787258299300447	61.37674	63.433457	2.0563111666666667	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	0	8	5	3	1	0.4348412499821279	63.433803	65.489817	2.0563111666666667	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	0	9	3	3	1	NA	65.490097	67.546832	2.0563111666666667	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	0	10	8	3	1	0.4236000000091735	67.547152	69.602681	2.0563111666666667	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	0	11	2	3	1	0.43758037500083447	69.603002	71.65788	2.0563111666666667	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	0	12	6	3	1	0.40012187499087304	71.658148	73.714275	2.0563111666666667	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	0	13	9	3	1	0.3768244159873575	73.714554	75.770246	2.0563111666666667	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	0	14	7	3	1	0.3297242090047803	75.770519	77.825661	2.0563111666666667	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	0	15	6	3	1	0.3429766669869423	77.825931	79.882024	2.0563111666666667	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	0	16	8	3	1	0.41570550002506934	79.882319	81.937574	2.0563111666666667	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	0	17	5	3	1	0.3524552079907153	81.937865	83.994076	2.0563111666666667	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	0	18	1	3	1	0.3835307919944171	83.994353	86.050126	2.0563111666666667	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	1	1	3	3	0	0.42183137498795986	99.263478	100.41847	1.1548857666666668	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	1	2	6	3	1	0.38129562497488223	100.418728	101.573017	1.1548857666666668	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	1	3	4	3	1	0.34303241700399667	101.573263	102.728101	1.1548857666666668	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	1	4	6	3	1	0.33957116698729806	102.728347	103.88397	1.1548857666666668	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	1	5	8	3	1	0.35778775002108887	103.884321	105.038046	1.1548857666666668	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	1	6	2	3	1	0.42338700001710095	105.038357	106.193181	1.1548857666666668	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	1	7	1	3	1	0.369014124997193	106.193427	107.348938	1.1548857666666668	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	1	8	2	3	1	0.3608492080238648	107.349299	108.50495	1.1548857666666668	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	1	9	5	3	1	0.36538599999039434	108.505201	109.659223	1.1548857666666668	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	1	10	8	3	1	0.39561825001146644	109.659471	110.813836	1.1548857666666668	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	1	11	3	3	1	NA	110.814151	111.96816	1.1548857666666668	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	1	12	8	3	1	0.32329666599980555	111.968393	113.122678	1.1548857666666668	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	1	13	4	3	1	0.3245712500065565	113.122948	114.278339	1.1548857666666668	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	1	14	6	3	1	0.3476293749990873	114.278617	115.433988	1.1548857666666668	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	1	15	8	3	1	0.38333833299111575	115.434273	116.58796	1.1548857666666668	time.process_time()
3	th2506	Please Select	24	True	True	False	3,04	Yes - normal vision	1	16	2	3	1	0.4264177920122165	116.588261	117.743671	1.1548857666666668	time.process_time()
