condition	part_id	part_gender	part_age	instagram	messenger	imessage	screentime	part_normal_vision	block_num	trial_num	number	omit_num	resp_acc	resp_rt	trial_start_time_s	trial_end_time_s	mean_trial_time_s	timing_function
3	vm4523	Male	23	False	True	False	2,20	Yes - corrected-to-normal vision	0	1	2	3	1	0.6449602500069886	42.212192	44.269006	2.0562259444444444	time.process_time()
3	vm4523	Male	23	False	True	False	2,20	Yes - corrected-to-normal vision	0	2	3	3	1	NA	44.269274	46.324943	2.0562259444444444	time.process_time()
3	vm4523	Male	23	False	True	False	2,20	Yes - corrected-to-normal vision	0	3	3	3	1	NA	46.325218	48.38158	2.0562259444444444	time.process_time()
3	vm4523	Male	23	False	True	False	2,20	Yes - corrected-to-normal vision	0	4	6	3	1	0.3561054590099957	48.381864	50.437362	2.0562259444444444	time.process_time()
3	vm4523	Male	23	False	True	False	2,20	Yes - corrected-to-normal vision	0	5	7	3	1	0.34774316698894836	50.43765	52.493633	2.0562259444444444	time.process_time()
3	vm4523	Male	23	False	True	False	2,20	Yes - corrected-to-normal vision	0	6	6	3	1	0.3470587079937104	52.49395	54.5498	2.0562259444444444	time.process_time()
3	vm4523	Male	23	False	True	False	2,20	Yes - corrected-to-normal vision	0	7	9	3	1	0.34901554201496765	54.550075	56.605761	2.0562259444444444	time.process_time()
3	vm4523	Male	23	False	True	False	2,20	Yes - corrected-to-normal vision	0	8	1	3	1	0.32377620800980367	56.606029	58.661037	2.0562259444444444	time.process_time()
3	vm4523	Male	23	False	True	False	2,20	Yes - corrected-to-normal vision	0	9	5	3	1	0.3330775829963386	58.66133	60.717703	2.0562259444444444	time.process_time()
3	vm4523	Male	23	False	True	False	2,20	Yes - corrected-to-normal vision	0	10	4	3	1	0.3467776670004241	60.718004	62.774967	2.0562259444444444	time.process_time()
3	vm4523	Male	23	False	True	False	2,20	Yes - corrected-to-normal vision	0	11	8	3	1	0.31709358299849555	62.775257	64.830683	2.0562259444444444	time.process_time()
